Type	Gene	Text
TextMining	NFKBIA	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	NPAT	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	OXSR1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PARP1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PARP10	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PIH1D1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	POLH	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	POP4	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	PSMC1	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RAD17	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RAD50	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RBBP8	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RFC5	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RNF168	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RNF8	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	RPA2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
TextMining	SF3B2	ATAXIA TELANGIECTASIA,AUTOSOMAL RECESSIVE CEREBELLAR ATAXIA,HEREDITARY ATAXIA
